State,Year,Credit Score,Prosper Score,Lenders Yield,Number of Loans
LA,2010,698.29787234,6.65957446809,0.235989361702,47
LA,2011,698.198198198,5.87387387387,0.228910810811,111
LA,2012,701.818181818,5.99545454545,0.217375,220
LA,2013,697.743902439,5.10365853659,0.1791625,328
LA,2014,694.700854701,6.02564102564,0.140995726496,117
MA,2009,690.0,8.15625,0.206125,32
MA,2010,714.62962963,7.75925925926,0.179252777778,108
MA,2011,706.93877551,6.17857142857,0.21320255102,196
MA,2012,704.272727273,6.12045454545,0.213491590909,440
MA,2013,707.748691099,5.79581151832,0.163644371728,764
MA,2014,697.841726619,6.54316546763,0.13270647482,278
MD,2009,705.185185185,8.33333333333,0.17257962963,54
MD,2010,715.918367347,7.12244897959,0.207737414966,147
MD,2011,701.41025641,5.96474358974,0.222942948718,312
